,tmdb_id,tconst,title,startYear,genres,budget,revenue,runtimeMinutes,popularity,averageRating,numVotes,production_countries,tagline,overview,poster_path,backdrop_path,bande_annonce,mot_cle,contributeur
2938,513691,tt7448180,The Debt Collector,2018,"Action,Comedy",3000000.0,28645.0,95,21.037,5.9,8925,"['GB', 'US']",Violence first. Questions later.,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",https://image.tmdb.org/t/p/original/5XyuUPoIeEf3guWLQW9lATON84v.jpg,https://image.tmdb.org/t/p/original/4EtSV3LmwHQSlmAeyn9pJ3ANtC8.jpg,https://youtu.be/N0O5iwmXzXM,"bodyguard,fistfight,mafia,debt collector,martial artist,drugs,grifter,loan shark,bloodbath,rookie,enforcer,hand to hand combat,paratrooper,mob,tatami","Michael Paré, Jesse V. Johnson"
2939,506775,tt7453418,Nekrotronic,2018,"Action,Comedy,Drama",0.0,0.0,99,11.69,5.6,3789,['AU'],Evil gets rebooted,A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the internet.,https://image.tmdb.org/t/p/original/zT0G9rNziv26mx5Q2QS1ecwzaQ6.jpg,https://image.tmdb.org/t/p/original/1PiZCvIXL0AgeRcUuO9CegSvrG6.jpg,https://youtu.be/Gj2YypZFkfs,"magic,demon,sect","Monica Bellucci, David Wenham"
2940,484641,tt7456310,Anna,2019,"Action,Thriller",34000000.0,31626978.0,118,28.478,6.6,93569,"['FR', 'GP', 'RU', 'RS', 'US']",Never make the weapon the target,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,https://image.tmdb.org/t/p/original/2U0oAVAE0lDRhNmJPPYhDW9kQ8t.jpg,https://image.tmdb.org/t/p/original/c1YQcpqsljC7lYEmTIeftcl22VS.jpg,https://youtu.be/oZSMV-NDH4w,"cia,paris, france,cold war,kgb,female assassin,lgbt,modeling,professional assassin,1990s,milan, italy,intense","Luc Besson, Luc Besson"
2941,484468,tt7458762,Le Chant du loup,2019,"Action,Thriller",22400000.0,12652790.0,115,23.47,6.9,21049,['FR'],,"With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem—or sound—using only his ears.",https://image.tmdb.org/t/p/original/8bxIzp9w9l9ZzGVwNaIKOaem05A.jpg,https://image.tmdb.org/t/p/original/xPLM2q3aHEXlEc3MQY4EHgMkdZp.jpg,https://youtu.be/a9Gz7Bg07u8,"nuclear missile,chain of command,sonar,nuclear submarine,french army","Mathieu Kassovitz, Omar Sy"
2942,504827,tt7466442,Bob's Burgers: Le Film,2022,"Adventure,Animation,Comedy",38000000.0,34148750.0,102,23.907,7.0,21336,['US'],Get your buns in theaters.,"When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",https://image.tmdb.org/t/p/original/AvV2nHEDQMWuRqAUrpcx2fB97CB.jpg,https://image.tmdb.org/t/p/original/rQccrEIXtZr7KZHwcy9a3QFHGdQ.jpg,https://youtu.be/hbGXqUumtqg,"test of courage,crime scene,aftercreditsstinger,based on tv series,secret playroom,carney town,comforting,optimistic,test of courage,crime scene,aftercreditsstinger,based on tv series,secret playroom,carney town,comforting,optimistic","Kevin Kline, Gary Cole"
2943,1033758,tt7478314,The Pay Day,2022,"Comedy,Crime,Thriller",250000.0,0.0,93,3.553,4.1,203,[],Two working class chancers. One big score.,A broke and frustrated IT technician decides to embark on a one woman heist to steal valuable data worth millions on the black market.,https://image.tmdb.org/t/p/original/kJAGFtUoA7ShKviUKCvQBht1Wol.jpg,https://image.tmdb.org/t/p/original/oD2c58G93gx6NXEiowVsHWUORAb.jpg,https://youtu.be/5KJngobrehM,,"Simon Callow, Ellen Thomas"
2944,560050,tt7488208,Voyage vers la Lune,2020,"Adventure,Animation,Comedy",0.0,0.0,95,25.734,6.3,24943,"['CN', 'US']",Believing is Everything,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",https://image.tmdb.org/t/p/original/lG0TF0wj1n9p9CPy5xlIUIkF56a.jpg,https://image.tmdb.org/t/p/original/vwYI3vWEwFs40HfmSQzPcGMVYfD.jpg,https://youtu.be/0J6AudFxgU8,"moon,rocket,moon,rocket,moon,rocket","John Cho, Glen Keane"
2945,482321,tt7504818,Ron débloque,2021,"Adventure,Animation,Comedy",0.0,60692022.0,107,46.948,7.1,40264,"['GB', 'US']",Best Friend Forever* (*battery life may vary),"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",https://image.tmdb.org/t/p/original/2gq9sEE2iDRqKx8OiZP6mYSTq4.jpg,https://image.tmdb.org/t/p/original/sdL37sfUBth7mdkAolI83bXAl7L.jpg,https://youtu.be/8I8nMtzN05s,"family,best friend forever,family,best friend forever","Zach Galifianakis, Jack Dylan Grazer"
2946,568271,tt7520568,La Légende des super-héros,2022,"Action,Comedy",0.0,0.0,90,5.293,5.2,2000,['US'],Take back your power.,"In 1960, Professor Ruckus Mandulbaum invented the Titan badge - a device that enables humans to have a particular super power. He took in three down-on-their-luck youths, creating an unusual family of superheroes and they quickly rose to fame and prestige. Over time, however, the commercial family fractured and the Professor replaced the team with a new set of super hero teens. Cut to 1979, when two of the original superheroes are all grown up and wanting their Titan badges back, even if it means robbing the Professor's museum and taking a few hostages accidentally.",https://image.tmdb.org/t/p/original/4mlRzuHAWMWjJuwZl0GZHrZfX3b.jpg,https://image.tmdb.org/t/p/original/dw7RqVO34APmoTZ8EzEluO1i35Q.jpg,https://youtu.be/zJHl7hOsTJU,,"Cary Elwes, Keli Price"
2947,531380,tt7521990,Golden Job,2018,"Action,Adventure,Crime",0.0,0.0,100,10.455,5.6,1441,['HK'],,"A group of former mercenaries reunite to plan an epic heist: boosting a truck full of medicine held by a foreign intelligence agency to supply a refugee camp in need. But when they find the truck is actually filled with stolen gold, the band of brothers realize they’ve been double-crossed by one of their own - and putting the situation right will be all out war.",https://image.tmdb.org/t/p/original/qMwpsjpAHvD9ZtfW88xvwlak5Pv.jpg,https://image.tmdb.org/t/p/original/w1lCa89i9fLmoujCxH3jUP0gvSj.jpg,https://youtu.be/rvHi2S9moOE,heist,"Eric Tsang, Eric Tsang"
